:Data_list: 20160317_Gp_xr_1m.txt
:Created: 2016 Mar 17 0401 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2016 03 17  0037   57464   2220     1.00e-09    2.12e-07
2016 03 17  0038   57464   2280     1.00e-09    2.12e-07
2016 03 17  0039   57464   2340     1.00e-09    2.10e-07
2016 03 17  0040   57464   2400     1.00e-09    2.07e-07
2016 03 17  0041   57464   2460     1.00e-09    2.06e-07
2016 03 17  0042   57464   2520     1.00e-09    2.04e-07
2016 03 17  0043   57464   2580     1.00e-09    2.02e-07
2016 03 17  0044   57464   2640     1.00e-09    2.04e-07
2016 03 17  0045   57464   2700     1.00e-09    2.04e-07
2016 03 17  0046   57464   2760     1.00e-09    2.01e-07
2016 03 17  0047   57464   2820     1.00e-09    1.98e-07
2016 03 17  0048   57464   2880     1.00e-09    2.01e-07
2016 03 17  0049   57464   2940     1.00e-09    2.03e-07
2016 03 17  0050   57464   3000     1.00e-09    1.97e-07
2016 03 17  0051   57464   3060     1.00e-09    1.97e-07
2016 03 17  0052   57464   3120     1.00e-09    1.97e-07
2016 03 17  0053   57464   3180     1.00e-09    2.00e-07
2016 03 17  0054   57464   3240     1.00e-09    1.98e-07
2016 03 17  0055   57464   3300     1.00e-09    1.98e-07
2016 03 17  0056   57464   3360     1.00e-09    1.98e-07
2016 03 17  0057   57464   3420     1.00e-09    1.97e-07
2016 03 17  0058   57464   3480     1.00e-09    1.98e-07
2016 03 17  0059   57464   3540     1.00e-09    2.00e-07
2016 03 17  0100   57464   3600     1.00e-09    1.99e-07
2016 03 17  0101   57464   3660     1.00e-09    1.98e-07
2016 03 17  0102   57464   3720     1.00e-09    1.98e-07
2016 03 17  0103   57464   3780     1.00e-09    1.98e-07
2016 03 17  0104   57464   3840     1.00e-09    1.99e-07
2016 03 17  0105   57464   3900     1.00e-09    2.02e-07
2016 03 17  0106   57464   3960     1.00e-09    2.00e-07
2016 03 17  0107   57464   4020     1.00e-09    1.98e-07
2016 03 17  0108   57464   4080     1.00e-09    1.97e-07
2016 03 17  0109   57464   4140     1.00e-09    1.95e-07
2016 03 17  0110   57464   4200     1.00e-09    1.98e-07
2016 03 17  0111   57464   4260     1.00e-09    1.99e-07
2016 03 17  0112   57464   4320     1.00e-09    1.99e-07
2016 03 17  0113   57464   4380     1.00e-09    2.00e-07
2016 03 17  0114   57464   4440     1.00e-09    1.96e-07
2016 03 17  0115   57464   4500     1.00e-09    1.92e-07
2016 03 17  0116   57464   4560     1.00e-09    1.94e-07
2016 03 17  0117   57464   4620     1.00e-09    1.94e-07
2016 03 17  0118   57464   4680     1.00e-09    1.94e-07
2016 03 17  0119   57464   4740     1.00e-09    1.97e-07
2016 03 17  0120   57464   4800     1.00e-09    2.02e-07
2016 03 17  0121   57464   4860     1.00e-09    2.00e-07
2016 03 17  0122   57464   4920     1.00e-09    1.97e-07
2016 03 17  0123   57464   4980     1.00e-09    1.98e-07
2016 03 17  0124   57464   5040     1.00e-09    1.98e-07
2016 03 17  0125   57464   5100     1.00e-09    2.02e-07
2016 03 17  0126   57464   5160     1.00e-09    1.97e-07
2016 03 17  0127   57464   5220     1.00e-09    1.98e-07
2016 03 17  0128   57464   5280     1.00e-09    1.98e-07
2016 03 17  0129   57464   5340     1.00e-09    1.98e-07
2016 03 17  0130   57464   5400     1.00e-09    1.97e-07
2016 03 17  0131   57464   5460     1.00e-09    1.97e-07
2016 03 17  0132   57464   5520     1.00e-09    2.01e-07
2016 03 17  0133   57464   5580     1.00e-09    1.99e-07
2016 03 17  0134   57464   5640     1.00e-09    2.02e-07
2016 03 17  0135   57464   5700     1.00e-09    2.01e-07
2016 03 17  0136   57464   5760     1.00e-09    1.98e-07
2016 03 17  0137   57464   5820     1.00e-09    1.98e-07
2016 03 17  0138   57464   5880     1.00e-09    2.01e-07
2016 03 17  0139   57464   5940     1.00e-09    2.04e-07
2016 03 17  0140   57464   6000     1.00e-09    2.10e-07
2016 03 17  0141   57464   6060     1.00e-09    2.10e-07
2016 03 17  0142   57464   6120     1.00e-09    2.09e-07
2016 03 17  0143   57464   6180     1.00e-09    2.08e-07
2016 03 17  0144   57464   6240     1.00e-09    2.06e-07
2016 03 17  0145   57464   6300     1.00e-09    2.05e-07
2016 03 17  0146   57464   6360     1.00e-09    2.03e-07
2016 03 17  0147   57464   6420     1.00e-09    2.01e-07
2016 03 17  0148   57464   6480     1.00e-09    2.01e-07
2016 03 17  0149   57464   6540     1.00e-09    1.99e-07
2016 03 17  0150   57464   6600     1.00e-09    1.96e-07
2016 03 17  0151   57464   6660     1.00e-09    1.96e-07
2016 03 17  0152   57464   6720     1.00e-09    1.95e-07
2016 03 17  0153   57464   6780     1.00e-09    1.99e-07
2016 03 17  0154   57464   6840     1.00e-09    2.02e-07
2016 03 17  0155   57464   6900     1.00e-09    2.03e-07
2016 03 17  0156   57464   6960     1.00e-09    2.05e-07
2016 03 17  0157   57464   7020     1.00e-09    2.02e-07
2016 03 17  0158   57464   7080     1.00e-09    2.04e-07
2016 03 17  0159   57464   7140     1.00e-09    2.06e-07
2016 03 17  0200   57464   7200     1.00e-09    2.05e-07
2016 03 17  0201   57464   7260     1.00e-09    2.01e-07
2016 03 17  0202   57464   7320     1.00e-09    2.00e-07
2016 03 17  0203   57464   7380     1.00e-09    2.01e-07
2016 03 17  0204   57464   7440     1.00e-09    2.04e-07
2016 03 17  0205   57464   7500     1.00e-09    2.04e-07
2016 03 17  0206   57464   7560     1.00e-09    2.06e-07
2016 03 17  0207   57464   7620     1.00e-09    2.07e-07
2016 03 17  0208   57464   7680     1.00e-09    2.09e-07
2016 03 17  0209   57464   7740     1.00e-09    2.11e-07
2016 03 17  0210   57464   7800     1.00e-09    2.13e-07
2016 03 17  0211   57464   7860     1.00e-09    2.13e-07
2016 03 17  0212   57464   7920     1.00e-09    2.16e-07
2016 03 17  0213   57464   7980     1.00e-09    2.15e-07
2016 03 17  0214   57464   8040     1.00e-09    2.16e-07
2016 03 17  0215   57464   8100     1.00e-09    2.13e-07
2016 03 17  0216   57464   8160     1.00e-09    2.12e-07
2016 03 17  0217   57464   8220     1.00e-09    2.09e-07
2016 03 17  0218   57464   8280     1.00e-09    2.16e-07
2016 03 17  0219   57464   8340     1.00e-09    2.08e-07
2016 03 17  0220   57464   8400     1.00e-09    2.07e-07
2016 03 17  0221   57464   8460     1.00e-09    2.04e-07
2016 03 17  0222   57464   8520     1.00e-09    2.04e-07
2016 03 17  0223   57464   8580     1.00e-09    2.04e-07
2016 03 17  0224   57464   8640     1.00e-09    2.02e-07
2016 03 17  0225   57464   8700     1.00e-09    2.01e-07
2016 03 17  0226   57464   8760     1.00e-09    2.03e-07
2016 03 17  0227   57464   8820     1.00e-09    1.98e-07
2016 03 17  0228   57464   8880     1.00e-09    1.96e-07
2016 03 17  0229   57464   8940     1.00e-09    1.97e-07
2016 03 17  0230   57464   9000     1.00e-09    1.99e-07
2016 03 17  0231   57464   9060     1.00e-09    1.99e-07
2016 03 17  0232   57464   9120     1.00e-09    2.03e-07
2016 03 17  0233   57464   9180     1.00e-09    2.02e-07
2016 03 17  0234   57464   9240     1.00e-09    2.03e-07
2016 03 17  0235   57464   9300     1.00e-09    2.04e-07
2016 03 17  0236   57464   9360     1.00e-09    2.06e-07
2016 03 17  0237   57464   9420     1.00e-09    2.05e-07
2016 03 17  0238   57464   9480     1.00e-09    2.04e-07
2016 03 17  0239   57464   9540     1.00e-09    2.04e-07
2016 03 17  0240   57464   9600     1.00e-09    2.04e-07
2016 03 17  0241   57464   9660     1.00e-09    2.02e-07
2016 03 17  0242   57464   9720     1.00e-09    2.02e-07
2016 03 17  0243   57464   9780     1.00e-09    2.06e-07
2016 03 17  0244   57464   9840     1.00e-09    2.06e-07
2016 03 17  0245   57464   9900     1.00e-09    2.07e-07
2016 03 17  0246   57464   9960     1.00e-09    2.14e-07
2016 03 17  0247   57464  10020     1.00e-09    2.23e-07
2016 03 17  0248   57464  10080     1.00e-09    2.18e-07
2016 03 17  0249   57464  10140     1.00e-09    2.15e-07
2016 03 17  0250   57464  10200     1.00e-09    2.15e-07
2016 03 17  0251   57464  10260     1.00e-09    2.20e-07
2016 03 17  0252   57464  10320     1.00e-09    2.30e-07
2016 03 17  0253   57464  10380     1.00e-09    2.32e-07
2016 03 17  0254   57464  10440     1.00e-09    2.30e-07
2016 03 17  0255   57464  10500     1.00e-09    2.31e-07
2016 03 17  0256   57464  10560     1.00e-09    2.26e-07
2016 03 17  0257   57464  10620     1.00e-09    2.20e-07
2016 03 17  0258   57464  10680     1.00e-09    2.18e-07
2016 03 17  0259   57464  10740     1.00e-09    2.12e-07
2016 03 17  0300   57464  10800     1.00e-09    2.10e-07
2016 03 17  0301   57464  10860     1.00e-09    2.09e-07
2016 03 17  0302   57464  10920     1.00e-09    2.10e-07
2016 03 17  0303   57464  10980     1.00e-09    2.13e-07
2016 03 17  0304   57464  11040     1.00e-09    2.16e-07
2016 03 17  0305   57464  11100     1.00e-09    2.20e-07
2016 03 17  0306   57464  11160     1.00e-09    2.23e-07
2016 03 17  0307   57464  11220     1.00e-09    2.24e-07
2016 03 17  0308   57464  11280     1.00e-09    2.31e-07
2016 03 17  0309   57464  11340     1.00e-09    2.35e-07
2016 03 17  0310   57464  11400     1.00e-09    2.37e-07
2016 03 17  0311   57464  11460     1.00e-09    2.38e-07
2016 03 17  0312   57464  11520     1.00e-09    2.38e-07
2016 03 17  0313   57464  11580     1.00e-09    2.43e-07
2016 03 17  0314   57464  11640     1.00e-09    2.48e-07
2016 03 17  0315   57464  11700     1.00e-09    2.59e-07
2016 03 17  0316   57464  11760     1.00e-09    2.66e-07
2016 03 17  0317   57464  11820     1.00e-09    2.75e-07
2016 03 17  0318   57464  11880     1.00e-09    2.91e-07
2016 03 17  0319   57464  11940     1.00e-09    3.02e-07
2016 03 17  0320   57464  12000     1.00e-09    3.04e-07
2016 03 17  0321   57464  12060     1.00e-09    3.13e-07
2016 03 17  0322   57464  12120     1.00e-09    3.21e-07
2016 03 17  0323   57464  12180     1.00e-09    3.28e-07
2016 03 17  0324   57464  12240     1.00e-09    3.33e-07
2016 03 17  0325   57464  12300     1.00e-09    3.35e-07
2016 03 17  0326   57464  12360     1.00e-09    3.40e-07
2016 03 17  0327   57464  12420     1.04e-09    3.42e-07
2016 03 17  0328   57464  12480     1.02e-09    3.45e-07
2016 03 17  0329   57464  12540     1.00e-09    3.45e-07
2016 03 17  0330   57464  12600     1.00e-09    3.43e-07
2016 03 17  0331   57464  12660     1.00e-09    3.42e-07
2016 03 17  0332   57464  12720     1.00e-09    3.45e-07
2016 03 17  0333   57464  12780     1.00e-09    3.46e-07
2016 03 17  0334   57464  12840     1.00e-09    3.49e-07
2016 03 17  0335   57464  12900     1.00e-09    3.44e-07
2016 03 17  0336   57464  12960     1.00e-09    3.42e-07
2016 03 17  0337   57464  13020     1.00e-09    3.40e-07
2016 03 17  0338   57464  13080     1.00e-09    3.38e-07
2016 03 17  0339   57464  13140     1.00e-09    3.33e-07
2016 03 17  0340   57464  13200     1.00e-09    3.33e-07
2016 03 17  0341   57464  13260     1.00e-09    3.25e-07
2016 03 17  0342   57464  13320     1.00e-09    3.21e-07
2016 03 17  0343   57464  13380     1.00e-09    3.15e-07
2016 03 17  0344   57464  13440     1.00e-09    3.12e-07
2016 03 17  0345   57464  13500     1.00e-09    3.08e-07
2016 03 17  0346   57464  13560     1.00e-09    3.05e-07
2016 03 17  0347   57464  13620     1.00e-09    3.02e-07
2016 03 17  0348   57464  13680     1.00e-09    3.02e-07
2016 03 17  0349   57464  13740     1.00e-09    2.99e-07
2016 03 17  0350   57464  13800     1.00e-09    2.93e-07
2016 03 17  0351   57464  13860     1.00e-09    2.89e-07
2016 03 17  0352   57464  13920     1.00e-09    2.89e-07
2016 03 17  0353   57464  13980     1.00e-09    2.89e-07
2016 03 17  0354   57464  14040     1.00e-09    2.89e-07
2016 03 17  0355   57464  14100     1.00e-09    2.88e-07
2016 03 17  0356   57464  14160     1.00e-09    2.85e-07
2016 03 17  0357   57464  14220     1.00e-09    2.83e-07
2016 03 17  0358   57464  14280     1.00e-09    2.80e-07
2016 03 17  0359   57464  14340     1.00e-09    2.79e-07
2016 03 17  0400   57464  14400     1.00e-09    2.78e-07
