:Data_list: 20160315_Gp_xr_1m.txt
:Created: 2016 Mar 16 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2016 03 15  0257   57462  10620     1.00e-09    1.83e-07
2016 03 15  0258   57462  10680     1.00e-09    1.83e-07
2016 03 15  0259   57462  10740     1.00e-09    1.81e-07
2016 03 15  0300   57462  10800     1.00e-09    1.80e-07
2016 03 15  0301   57462  10860     1.00e-09    1.79e-07
2016 03 15  0302   57462  10920     1.00e-09    1.80e-07
2016 03 15  0303   57462  10980     1.00e-09    1.78e-07
2016 03 15  0304   57462  11040     1.00e-09    1.80e-07
2016 03 15  0305   57462  11100     1.00e-09    1.77e-07
2016 03 15  0306   57462  11160     1.00e-09    1.80e-07
2016 03 15  0307   57462  11220     1.00e-09    1.80e-07
2016 03 15  0308   57462  11280     1.00e-09    1.78e-07
2016 03 15  0309   57462  11340     1.00e-09    1.74e-07
2016 03 15  0310   57462  11400     1.00e-09    1.79e-07
2016 03 15  0311   57462  11460     1.00e-09    1.79e-07
2016 03 15  0312   57462  11520     1.00e-09    1.72e-07
2016 03 15  0313   57462  11580     1.00e-09    1.74e-07
2016 03 15  0314   57462  11640     1.00e-09    1.75e-07
2016 03 15  0315   57462  11700     1.00e-09    1.75e-07
2016 03 15  0316   57462  11760     1.00e-09    1.76e-07
2016 03 15  0317   57462  11820     1.00e-09    1.72e-07
2016 03 15  0318   57462  11880     1.00e-09    1.70e-07
2016 03 15  0319   57462  11940     1.00e-09    1.68e-07
2016 03 15  0320   57462  12000     1.00e-09    1.71e-07
2016 03 15  0321   57462  12060     1.00e-09    1.71e-07
2016 03 15  0322   57462  12120     1.00e-09    1.72e-07
2016 03 15  0323   57462  12180     1.00e-09    1.72e-07
2016 03 15  0324   57462  12240     1.00e-09    1.70e-07
2016 03 15  0325   57462  12300     1.00e-09    1.74e-07
2016 03 15  0326   57462  12360     1.00e-09    1.77e-07
2016 03 15  0327   57462  12420     1.00e-09    1.78e-07
2016 03 15  0328   57462  12480     1.00e-09    1.79e-07
2016 03 15  0329   57462  12540     1.00e-09    1.79e-07
2016 03 15  0330   57462  12600     1.00e-09    1.72e-07
2016 03 15  0331   57462  12660     1.00e-09    1.71e-07
2016 03 15  0332   57462  12720     1.00e-09    1.71e-07
2016 03 15  0333   57462  12780     1.00e-09    1.96e-07
2016 03 15  0334   57462  12840     1.00e-09    2.16e-07
2016 03 15  0335   57462  12900     1.00e-09    2.21e-07
2016 03 15  0336   57462  12960     1.00e-09    2.16e-07
2016 03 15  0337   57462  13020     1.00e-09    2.07e-07
2016 03 15  0338   57462  13080     1.00e-09    2.01e-07
2016 03 15  0339   57462  13140     1.00e-09    1.92e-07
2016 03 15  0340   57462  13200     1.00e-09    1.89e-07
2016 03 15  0341   57462  13260     1.00e-09    1.86e-07
2016 03 15  0342   57462  13320     1.00e-09    1.85e-07
2016 03 15  0343   57462  13380     1.00e-09    1.83e-07
2016 03 15  0344   57462  13440     1.00e-09    1.85e-07
2016 03 15  0345   57462  13500     1.00e-09    1.87e-07
2016 03 15  0346   57462  13560     1.00e-09    1.79e-07
2016 03 15  0347   57462  13620     1.00e-09    1.87e-07
2016 03 15  0348   57462  13680     1.00e-09    1.93e-07
2016 03 15  0349   57462  13740     1.00e-09    1.97e-07
2016 03 15  0350   57462  13800     1.00e-09    2.03e-07
2016 03 15  0351   57462  13860     1.00e-09    2.15e-07
2016 03 15  0352   57462  13920     1.00e-09    2.21e-07
2016 03 15  0353   57462  13980     1.00e-09    2.31e-07
2016 03 15  0354   57462  14040     1.00e-09    2.37e-07
2016 03 15  0355   57462  14100     1.00e-09    2.44e-07
2016 03 15  0356   57462  14160     1.00e-09    2.55e-07
2016 03 15  0357   57462  14220     1.00e-09    2.67e-07
2016 03 15  0358   57462  14280     1.02e-09    2.79e-07
2016 03 15  0359   57462  14340     1.00e-09    2.87e-07
2016 03 15  0400   57462  14400     1.02e-09    2.95e-07
2016 03 15  0401   57462  14460     1.00e-09    3.04e-07
2016 03 15  0402   57462  14520     1.08e-09    3.16e-07
2016 03 15  0403   57462  14580     1.16e-09    3.27e-07
2016 03 15  0404   57462  14640     2.07e-09    3.44e-07
2016 03 15  0405   57462  14700     7.47e-09    3.59e-07
2016 03 15  0406   57462  14760     6.52e-09    3.67e-07
2016 03 15  0407   57462  14820     6.06e-09    3.76e-07
2016 03 15  0408   57462  14880     6.39e-09    3.81e-07
2016 03 15  0409   57462  14940     3.45e-09    3.85e-07
2016 03 15  0410   57462  15000     4.52e-09    3.91e-07
2016 03 15  0411   57462  15060     4.95e-09    3.96e-07
2016 03 15  0412   57462  15120     5.28e-09    4.00e-07
2016 03 15  0413   57462  15180     7.44e-09    4.05e-07
2016 03 15  0414   57462  15240     6.67e-09    4.10e-07
2016 03 15  0415   57462  15300     8.51e-09    4.17e-07
2016 03 15  0416   57462  15360     6.48e-09    4.20e-07
2016 03 15  0417   57462  15420     7.17e-09    4.25e-07
2016 03 15  0418   57462  15480     6.06e-09    4.25e-07
2016 03 15  0419   57462  15540     6.64e-09    4.32e-07
2016 03 15  0420   57462  15600     6.71e-09    4.36e-07
2016 03 15  0421   57462  15660     6.98e-09    4.37e-07
2016 03 15  0422   57462  15720     5.84e-09    4.37e-07
2016 03 15  0423   57462  15780     5.79e-09    4.34e-07
2016 03 15  0424   57462  15840     3.14e-09    4.28e-07
2016 03 15  0425   57462  15900     2.98e-09    4.25e-07
2016 03 15  0426   57462  15960     3.91e-09    4.21e-07
2016 03 15  0427   57462  16020     2.56e-09    4.16e-07
2016 03 15  0428   57462  16080     4.48e-09    4.12e-07
2016 03 15  0429   57462  16140     2.37e-09    4.10e-07
2016 03 15  0430   57462  16200     1.76e-09    4.04e-07
2016 03 15  0431   57462  16260     1.83e-09    3.99e-07
2016 03 15  0432   57462  16320     1.13e-09    3.94e-07
2016 03 15  0433   57462  16380     1.00e-09    3.91e-07
2016 03 15  0434   57462  16440     1.00e-09    3.87e-07
2016 03 15  0435   57462  16500     1.00e-09    3.85e-07
2016 03 15  0436   57462  16560     1.26e-09    3.80e-07
2016 03 15  0437   57462  16620     1.00e-09    3.77e-07
2016 03 15  0438   57462  16680     1.00e-09    3.72e-07
2016 03 15  0439   57462  16740     1.00e-09    3.71e-07
2016 03 15  0440   57462  16800     1.00e-09    3.72e-07
2016 03 15  0441   57462  16860     1.00e-09    3.64e-07
2016 03 15  0442   57462  16920     1.00e-09    3.59e-07
2016 03 15  0443   57462  16980     1.00e-09    3.51e-07
2016 03 15  0444   57462  17040     1.00e-09    3.49e-07
2016 03 15  0445   57462  17100     1.00e-09    3.49e-07
2016 03 15  0446   57462  17160     1.00e-09    3.40e-07
2016 03 15  0447   57462  17220     1.00e-09    3.38e-07
2016 03 15  0448   57462  17280     1.02e-09    3.30e-07
2016 03 15  0449   57462  17340     1.00e-09    3.27e-07
2016 03 15  0450   57462  17400     1.00e-09    3.27e-07
2016 03 15  0451   57462  17460     1.00e-09    3.23e-07
2016 03 15  0452   57462  17520     1.02e-09    3.18e-07
2016 03 15  0453   57462  17580     1.00e-09    3.14e-07
2016 03 15  0454   57462  17640     1.00e-09    3.10e-07
2016 03 15  0455   57462  17700     1.00e-09    3.05e-07
2016 03 15  0456   57462  17760     1.00e-09    3.02e-07
2016 03 15  0457   57462  17820     1.00e-09    2.97e-07
2016 03 15  0458   57462  17880     1.00e-09    2.96e-07
2016 03 15  0459   57462  17940     1.00e-09    2.94e-07
2016 03 15  0500   57462  18000     1.00e-09    2.90e-07
2016 03 15  0501   57462  18060     1.00e-09    2.90e-07
2016 03 15  0502   57462  18120     1.00e-09    2.89e-07
2016 03 15  0503   57462  18180     1.00e-09    2.91e-07
2016 03 15  0504   57462  18240     1.00e-09    3.00e-07
2016 03 15  0505   57462  18300     1.00e-09    3.01e-07
2016 03 15  0506   57462  18360     1.00e-09    3.02e-07
2016 03 15  0507   57462  18420     1.00e-09    3.11e-07
2016 03 15  0508   57462  18480     1.00e-09    3.06e-07
2016 03 15  0509   57462  18540     1.00e-09    2.94e-07
2016 03 15  0510   57462  18600     1.00e-09    2.87e-07
2016 03 15  0511   57462  18660     1.00e-09    2.79e-07
2016 03 15  0512   57462  18720     1.00e-09    2.69e-07
2016 03 15  0513   57462  18780     1.00e-09    2.66e-07
2016 03 15  0514   57462  18840     1.00e-09    2.61e-07
2016 03 15  0515   57462  18900     1.00e-09    2.58e-07
2016 03 15  0516   57462  18960     1.00e-09    2.54e-07
2016 03 15  0517   57462  19020     1.00e-09    2.50e-07
2016 03 15  0518   57462  19080     1.00e-09    2.47e-07
2016 03 15  0519   57462  19140     1.00e-09    2.44e-07
2016 03 15  0520   57462  19200     1.00e-09    2.42e-07
2016 03 15  0521   57462  19260     1.00e-09    2.45e-07
2016 03 15  0522   57462  19320     1.00e-09    2.46e-07
2016 03 15  0523   57462  19380     1.00e-09    2.40e-07
2016 03 15  0524   57462  19440     1.00e-09    2.37e-07
2016 03 15  0525   57462  19500     1.00e-09    2.41e-07
2016 03 15  0526   57462  19560     1.00e-09    2.38e-07
2016 03 15  0527   57462  19620     1.00e-09    2.34e-07
2016 03 15  0528   57462  19680     1.00e-09    2.31e-07
2016 03 15  0529   57462  19740     1.00e-09    2.29e-07
2016 03 15  0530   57462  19800     1.00e-09    2.24e-07
2016 03 15  0531   57462  19860     1.00e-09    2.22e-07
2016 03 15  0532   57462  19920     1.00e-09    2.25e-07
2016 03 15  0533   57462  19980     1.00e-09    2.21e-07
2016 03 15  0534   57462  20040     1.00e-09    2.21e-07
2016 03 15  0535   57462  20100     1.00e-09    2.19e-07
2016 03 15  0536   57462  20160     1.00e-09    2.18e-07
2016 03 15  0537   57462  20220     1.00e-09    2.20e-07
2016 03 15  0538   57462  20280     1.00e-09    2.21e-07
2016 03 15  0539   57462  20340     1.00e-09    2.18e-07
2016 03 15  0540   57462  20400     1.00e-09    2.14e-07
2016 03 15  0541   57462  20460     1.00e-09    2.16e-07
2016 03 15  0542   57462  20520     1.00e-09    2.20e-07
2016 03 15  0543   57462  20580     1.00e-09    2.16e-07
2016 03 15  0544   57462  20640     1.00e-09    2.18e-07
2016 03 15  0545   57462  20700     1.00e-09    2.18e-07
2016 03 15  0546   57462  20760     1.00e-09    2.15e-07
2016 03 15  0547   57462  20820     1.00e-09    2.14e-07
2016 03 15  0548   57462  20880     1.00e-09    2.16e-07
2016 03 15  0549   57462  20940     1.00e-09    2.13e-07
2016 03 15  0550   57462  21000     1.00e-09    2.15e-07
2016 03 15  0551   57462  21060     1.00e-09    2.14e-07
2016 03 15  0552   57462  21120     1.00e-09    2.11e-07
2016 03 15  0553   57462  21180     1.00e-09    2.13e-07
2016 03 15  0554   57462  21240     1.00e-09    2.14e-07
2016 03 15  0555   57462  21300     1.00e-09    2.16e-07
2016 03 15  0556   57462  21360     1.00e-09    2.21e-07
2016 03 15  0557   57462  21420     1.00e-09    2.21e-07
2016 03 15  0558   57462  21480     1.00e-09    2.15e-07
2016 03 15  0559   57462  21540     1.00e-09    2.14e-07
2016 03 15  0600   57462  21600     1.00e-09    2.15e-07
2016 03 15  0601   57462  21660     1.00e-09    2.12e-07
2016 03 15  0602   57462  21720     1.00e-09    2.13e-07
2016 03 15  0603   57462  21780     1.00e-09    2.17e-07
2016 03 15  0604   57462  21840     1.00e-09    2.19e-07
2016 03 15  0605   57462  21900     1.00e-09    2.19e-07
2016 03 15  0606   57462  21960     1.00e-09    2.23e-07
2016 03 15  0607   57462  22020     1.00e-09    2.23e-07
2016 03 15  0608   57462  22080     1.00e-09    2.27e-07
2016 03 15  0609   57462  22140     1.00e-09    2.26e-07
2016 03 15  0610   57462  22200     1.00e-09    2.24e-07
2016 03 15  0611   57462  22260     1.00e-09    2.22e-07
2016 03 15  0612   57462  22320     1.00e-09    2.26e-07
2016 03 15  0613   57462  22380     1.00e-09    2.28e-07
2016 03 15  0614   57462  22440     1.00e-09    2.29e-07
2016 03 15  0615   57462  22500     1.00e-09    2.26e-07
2016 03 15  0616   57462  22560     1.00e-09    2.26e-07
2016 03 15  0617   57462  22620     1.00e-09    2.27e-07
2016 03 15  0618   57462  22680     1.00e-09    2.28e-07
2016 03 15  0619   57462  22740     1.00e-09    2.29e-07
2016 03 15  0620   57462  22800     1.34e-09    2.32e-07
2016 03 15  0621   57462  22860     1.20e-09    2.33e-07
2016 03 15  0622   57462  22920     1.02e-09    2.38e-07
2016 03 15  0623   57462  22980     1.51e-09    2.37e-07
2016 03 15  0624   57462  23040     1.16e-09    2.41e-07
2016 03 15  0625   57462  23100     1.02e-09    2.38e-07
2016 03 15  0626   57462  23160     1.04e-09    2.38e-07
2016 03 15  0627   57462  23220     1.00e-09    2.39e-07
2016 03 15  0628   57462  23280     1.00e-09    2.42e-07
2016 03 15  0629   57462  23340     1.00e-09    2.44e-07
2016 03 15  0630   57462  23400     1.00e-09    2.43e-07
2016 03 15  0631   57462  23460     1.00e-09    2.43e-07
2016 03 15  0632   57462  23520     1.00e-09    2.40e-07
2016 03 15  0633   57462  23580     1.00e-09    2.38e-07
2016 03 15  0634   57462  23640     1.00e-09    2.31e-07
2016 03 15  0635   57462  23700     1.00e-09    2.31e-07
2016 03 15  0636   57462  23760     1.00e-09    2.30e-07
2016 03 15  0637   57462  23820     1.00e-09    2.28e-07
2016 03 15  0638   57462  23880     1.00e-09    2.26e-07
2016 03 15  0639   57462  23940     1.00e-09    2.27e-07
2016 03 15  0640   57462  24000     1.00e-09    2.23e-07
2016 03 15  0641   57462  24060     1.00e-09    2.23e-07
2016 03 15  0642   57462  24120     1.00e-09    2.23e-07
2016 03 15  0643   57462  24180     1.00e-09    2.24e-07
2016 03 15  0644   57462  24240     1.00e-09    2.21e-07
2016 03 15  0645   57462  24300     1.00e-09    2.22e-07
2016 03 15  0646   57462  24360     1.00e-09    2.22e-07
2016 03 15  0647   57462  24420     1.00e-09    2.18e-07
2016 03 15  0648   57462  24480     1.00e-09    2.17e-07
2016 03 15  0649   57462  24540     1.00e-09    2.18e-07
2016 03 15  0650   57462  24600     1.00e-09    2.22e-07
2016 03 15  0651   57462  24660     1.00e-09    2.24e-07
2016 03 15  0652   57462  24720     1.00e-09    2.20e-07
2016 03 15  0653   57462  24780     1.00e-09    2.23e-07
2016 03 15  0654   57462  24840     1.00e-09    2.21e-07
2016 03 15  0655   57462  24900     1.00e-09    2.22e-07
2016 03 15  0656   57462  24960     1.00e-09    2.22e-07
2016 03 15  0657   57462  25020     1.00e-09    2.25e-07
2016 03 15  0658   57462  25080     1.00e-09    2.27e-07
2016 03 15  0659   57462  25140     1.00e-09    2.22e-07
2016 03 15  0700   57462  25200     1.00e-09    2.26e-07
2016 03 15  0701   57462  25260     1.00e-09    2.25e-07
2016 03 15  0702   57462  25320     1.00e-09    2.29e-07
2016 03 15  0703   57462  25380     1.00e-09    2.30e-07
2016 03 15  0704   57462  25440     1.00e-09    2.32e-07
2016 03 15  0705   57462  25500     1.00e-09    2.34e-07
2016 03 15  0706   57462  25560     1.00e-09    2.36e-07
2016 03 15  0707   57462  25620     1.00e-09    2.39e-07
2016 03 15  0708   57462  25680     1.00e-09    2.42e-07
2016 03 15  0709   57462  25740     1.00e-09    2.42e-07
2016 03 15  0710   57462  25800     1.00e-09    2.39e-07
2016 03 15  0711   57462  25860     1.00e-09    2.42e-07
2016 03 15  0712   57462  25920     1.00e-09    2.47e-07
2016 03 15  0713   57462  25980     1.00e-09    2.45e-07
2016 03 15  0714   57462  26040     1.00e-09    2.45e-07
2016 03 15  0715   57462  26100     1.00e-09    2.49e-07
2016 03 15  0716   57462  26160     1.00e-09    2.49e-07
2016 03 15  0717   57462  26220     1.00e-09    2.49e-07
2016 03 15  0718   57462  26280     1.00e-09    2.53e-07
2016 03 15  0719   57462  26340     1.00e-09    2.49e-07
2016 03 15  0720   57462  26400     1.00e-09    2.50e-07
2016 03 15  0721   57462  26460     1.00e-09    2.53e-07
2016 03 15  0722   57462  26520     1.00e-09    2.53e-07
2016 03 15  0723   57462  26580     1.00e-09    2.56e-07
2016 03 15  0724   57462  26640     1.00e-09    2.65e-07
